basisofrec,catnum,classkey,coll_code,datasetkey,day,dec_lat,dec_long,familykey,gbifid,gbifurl,genuskey,geomwkt,inst_code,kingdomkey,localid,month,occurid,orderkey,phylumkey,provider,puborgkey,rec_by,sciname,specieskey,taxonkey,year
PRESERVED_SPECIMEN,19380,216,UQIC,88e38292-f762-11e1-a439-00145eb45e9a,0,-30.98333,23.8,3346,177210315,http://www.gbif.org/occurrence/177210315,1650098,POINT (23.8 -30.98333),UQIC,1,0,9,0,811,54,"Walter Reed Biosystematics Unit, Smithsonian Institution","Walter Reed Biosystematics Unit, Smithsonian Institution",No data,"Anopheles gambiae Giles, 1902",1650518,1650518,1903
PRESERVED_SPECIMEN,19379,216,UQIC,88e38292-f762-11e1-a439-00145eb45e9a,0,-28.7,20.9667,3346,177210314,http://www.gbif.org/occurrence/177210314,1650098,POINT (20.9667 -28.7),UQIC,1,1,10,0,811,54,"Walter Reed Biosystematics Unit, Smithsonian Institution","Walter Reed Biosystematics Unit, Smithsonian Institution",No data,"Anopheles gambiae Giles, 1902",1650518,1650518,1910
PRESERVED_SPECIMEN,9005876,216,BRS115,88e38292-f762-11e1-a439-00145eb45e9a,0,-16.26713,-40.56705,3346,177069575,http://www.gbif.org/occurrence/177069575,1650098,POINT (-40.56705 -16.26713),USNM,1,2,0,0,811,54,"Walter Reed Biosystematics Unit, Smithsonian Institution","Walter Reed Biosystematics Unit, Smithsonian Institution",Fowler J,"Anopheles gambiae Giles, 1902",1650518,1650518,1972
PRESERVED_SPECIMEN,9018142,216,BRS126,88e38292-f762-11e1-a439-00145eb45e9a,0,-16.26713,-40.56705,3346,177069576,http://www.gbif.org/occurrence/177069576,1650098,POINT (-40.56705 -16.26713),USNM,1,3,0,0,811,54,"Walter Reed Biosystematics Unit, Smithsonian Institution","Walter Reed Biosystematics Unit, Smithsonian Institution",Fowler J,"Anopheles gambiae Giles, 1902",1650518,1650518,1972
PRESERVED_SPECIMEN,9034192,216,BRS158,88e38292-f762-11e1-a439-00145eb45e9a,0,-16.26713,-40.56705,3346,177069577,http://www.gbif.org/occurrence/177069577,1650098,POINT (-40.56705 -16.26713),USNM,1,4,0,0,811,54,"Walter Reed Biosystematics Unit, Smithsonian Institution","Walter Reed Biosystematics Unit, Smithsonian Institution",Fowler J,"Anopheles gambiae Giles, 1902",1650518,1650518,1972
PRESERVED_SPECIMEN,9074621,216,BRS241,88e38292-f762-11e1-a439-00145eb45e9a,0,-16.26713,-40.56705,3346,177069578,http://www.gbif.org/occurrence/177069578,1650098,POINT (-40.56705 -16.26713),USNM,1,5,0,0,811,54,"Walter Reed Biosystematics Unit, Smithsonian Institution","Walter Reed Biosystematics Unit, Smithsonian Institution",Fowler J,"Anopheles gambiae Giles, 1902",1650518,1650518,1972
PRESERVED_SPECIMEN,9028439,216,BRS44,88e38292-f762-11e1-a439-00145eb45e9a,0,-12.90045,-38.33369,3346,177069816,http://www.gbif.org/occurrence/177069816,1650098,POINT (-38.33369 -12.90045),USNM,1,6,2,0,811,54,"Walter Reed Biosystematics Unit, Smithsonian Institution","Walter Reed Biosystematics Unit, Smithsonian Institution",Fowler J,"Anopheles gambiae Giles, 1902",1650518,1650518,1972
PRESERVED_SPECIMEN,9058021,216,BRS277,88e38292-f762-11e1-a439-00145eb45e9a,0,-16.26713,-40.56705,3346,177069579,http://www.gbif.org/occurrence/177069579,1650098,POINT (-40.56705 -16.26713),USNM,1,7,0,0,811,54,"Walter Reed Biosystematics Unit, Smithsonian Institution","Walter Reed Biosystematics Unit, Smithsonian Institution",Fowler J,"Anopheles gambiae Giles, 1902",1650518,1650518,1972
PRESERVED_SPECIMEN,SAM-DIP-A005440,216,Ent,7b468209-8d5c-477b-b118-cdf04dde9912,1,-17.5,14.25,3346,286968334,http://www.gbif.org/occurrence/286968334,1650098,POINT (14.25 -17.5),South African Museum,1,8,3,0,811,54,South African National Biodiversity Institute,South African National Biodiversity Institute,Museum Exped.S.W.Afr,"Anopheles gambiae Giles, 1902",1650518,1650518,1923
PRESERVED_SPECIMEN,SAM-DIP-A005439,216,Ent,7b468209-8d5c-477b-b118-cdf04dde9912,1,-18.8,17.0,3346,286968333,http://www.gbif.org/occurrence/286968333,1650098,POINT (17.0 -18.8),South African Museum,1,9,2,0,811,54,South African National Biodiversity Institute,South African National Biodiversity Institute,Barnard KH,"Anopheles gambiae Giles, 1902",1650518,1650518,1921
PRESERVED_SPECIMEN,SAM-DIP-A005437,216,Ent,7b468209-8d5c-477b-b118-cdf04dde9912,1,-18.8,17.0,3346,286968331,http://www.gbif.org/occurrence/286968331,1650098,POINT (17.0 -18.8),South African Museum,1,10,2,0,811,54,South African National Biodiversity Institute,South African National Biodiversity Institute,Barnard KH,"Anopheles gambiae Giles, 1902",1650518,1650518,1921
HUMAN_OBSERVATION,804,216,LitRev,88e38292-f762-11e1-a439-00145eb45e9a,0,-3.38333,37.66667,3346,225875873,http://www.gbif.org/occurrence/225875873,1650098,POINT (37.66667 -3.38333),NICD,1,11,3,0,811,54,"Walter Reed Biosystematics Unit, Smithsonian Institution","Walter Reed Biosystematics Unit, Smithsonian Institution",No data,"Anopheles gambiae Giles, 1902",1650518,1650518,1970
HUMAN_OBSERVATION,802,216,LitRev,88e38292-f762-11e1-a439-00145eb45e9a,0,-3.38333,37.66667,3346,225875871,http://www.gbif.org/occurrence/225875871,1650098,POINT (37.66667 -3.38333),NICD,1,12,1,0,811,54,"Walter Reed Biosystematics Unit, Smithsonian Institution","Walter Reed Biosystematics Unit, Smithsonian Institution",No data,"Anopheles gambiae Giles, 1902",1650518,1650518,1961
