name,length,GC,coverage,phylum
scaffold1_size1534183,1534183,0.4304,0.603315249876,Bacteroidetes
scaffold2_size1255804,1255804,0.4237,1.26694372689,Bacteroidetes
scaffold3_size1208507,1208507,0.5007,0.364659865437,Armatimonadetes
scaffold4_size1204010,1204010,0.4281,0.49976412156,Bacteroidetes
scaffold5_size1189196,1189196,0.4942,0.320680527012,Proteobacteria
scaffold6_size1018756,1018756,0.4974,0.311290436572,Armatimonadetes
scaffold7_size968285,968285,0.4255,4.65931311546,Bacteroidetes
scaffold8_size763136,763136,0.4252,0.617382746981,Bacteroidetes
scaffold9_size589582,589582,0.4245,4.51645063791,Bacteroidetes
scaffold10_size447749,447749,0.4258,4.82188458266,Bacteroidetes
scaffold11_size431226,431226,0.4257,4.35888605974,Bacteroidetes
scaffold14_size321927,321927,0.4252,4.42096189509,Bacteroidetes
scaffold15_size287491,287491,0.4218,3.92702032411,Bacteroidetes
scaffold16_size283682,283682,0.4563,147.933154025,Arthropoda
scaffold17_size272228,272228,0.4983,0.361270699561,Armatimonadetes
scaffold18_size250760,250760,0.5564,1.30693491785,Chloroflexi
scaffold19_size237592,237592,0.4264,4.4406503586,Bacteroidetes
scaffold20_size227593,227593,0.4354,149.707934778,Chordata
scaffold21_size194381,194381,0.4416,141.504545197,Chordata
scaffold22_size186749,186749,0.4287,4.18192868503,Bacteroidetes
scaffold23_size182404,182404,0.4274,3.93051687463,Bacteroidetes
scaffold25_size163903,163903,0.4453,158.017858123,Mollusca
scaffold26_size160134,160134,0.4225,3.67864413554,Proteobacteria
scaffold27_size151773,151773,0.527,1.2153017994,Chloroflexi
scaffold28_size146765,146765,0.5555,1.05406602392,Acidobacteria
scaffold29_size145666,145666,0.4017,77.4595787624,Arthropoda
scaffold30_size144244,144244,0.4298,148.825247497,Arthropoda
scaffold31_size143422,143422,0.4045,79.7026258175,Arthropoda
scaffold34_size141483,141483,0.4454,129.497289427,Chordata
scaffold35_size141275,141275,0.416,103.751831534,Ascomycota
scaffold37_size133809,133809,0.536,0.908010671928,Firmicutes
scaffold38_size129736,129736,0.544,1.29447493371,Proteobacteria
scaffold39_size129586,129586,0.4476,124.395760344,Arthropoda
scaffold40_size127313,127313,0.4179,68.5343966059,Hemichordata
scaffold41_size125519,125519,0.4304,3.95377592237,Bacteroidetes
scaffold42_size124478,124478,0.4277,78.9548032584,Arthropoda
scaffold44_size122668,122668,0.5378,1.12420517168,Chloroflexi
scaffold45_size121266,121266,0.4304,139.347195422,Mollusca
scaffold47_size119243,119243,0.4296,140.949841919,Chordata
scaffold48_size118896,118896,0.5657,1.27751143857,Chloroflexi
scaffold50_size117968,117968,0.4111,74.8036660534,Arthropoda
scaffold51_size117904,117904,0.4221,81.3120335188,Bacteroidetes
scaffold53_size115723,115723,0.4436,154.197119416,Arthropoda
scaffold55_size111397,111397,0.4212,79.6004021652,Chordata
scaffold56_size110511,110511,0.4414,143.352924143,Chordata
scaffold57_size109677,109677,0.5122,1.00473207692,Firmicutes
scaffold58_size108248,108248,0.4265,124.397707117,Arthropoda
scaffold59_size107527,107527,0.4465,167.520892427,Arthropoda
scaffold60_size105423,105423,0.4503,146.014901871,Arthropoda
scaffold61_size105421,105421,0.45,75.5171455403,Arthropoda
scaffold64_size103141,103141,0.4077,81.9079900331,Echinodermata
scaffold65_size101633,101633,0.4293,97.304773056,Arthropoda
scaffold66_size161584,161584,0.4408,129.244009308,Arthropoda
scaffold68_size194443,194443,0.4381,134.982853587,Arthropoda
scaffold69_size98318,98318,0.4254,83.7083443519,Arthropoda
scaffold71_size97503,97503,0.4743,129.123626965,Arthropoda
scaffold72_size97172,97172,0.4592,73.2827666407,Proteobacteria
scaffold74_size115697,115697,0.4413,165.61572771,Arthropoda
scaffold75_size96021,96021,0.5441,0.892919257246,Cyanobacteria
scaffold76_size95878,95878,0.421,136.587736498,Arthropoda
scaffold78_size94633,94633,0.492,0.315693257109,Acidobacteria
scaffold79_size94346,94346,0.4063,0.183780976406,Bacteroidetes
scaffold80_size93979,93979,0.4406,130.237755243,Mollusca
scaffold81_size93674,93674,0.4283,79.5875601867,Ascomycota
scaffold82_size93496,93496,0.5344,0.879278257894,Cyanobacteria
scaffold84_size92828,92828,0.5454,0.896809152411,Chloroflexi
scaffold86_size90611,90611,0.4691,77.0645396254,Arthropoda
scaffold87_size89407,89407,0.458,132.005418234,Arthropoda
scaffold88_size88985,88985,0.4485,66.6461303234,Arthropoda
scaffold90_size88835,88835,0.4278,131.13980976,Arthropoda
scaffold91_size106674,106674,0.4363,85.69570842,Echinodermata
scaffold92_size87812,87812,0.419,111.749032023,Chordata
scaffold93_size128521,128521,0.4256,83.7552208601,Arthropoda
scaffold94_size87648,87648,0.4189,75.0884218693,Arthropoda
scaffold95_size87462,87462,0.4262,135.132937733,Chordata
scaffold97_size86464,86464,0.4283,79.9819265259,Hemichordata
scaffold98_size85863,85863,0.4468,77.5325110932,Echinodermata
scaffold100_size92086,92086,0.4284,77.4331928849,Chordata
scaffold101_size85112,85112,0.4765,104.168742363,Chordata
scaffold102_size85064,85064,0.5548,1.27966002069,Bacteria-undef
scaffold103_size84902,84902,0.4468,129.110821889,Arthropoda
scaffold104_size84685,84685,0.4464,86.3908720553,Arthropoda
scaffold106_size83185,83185,0.3946,80.714299453,Cnidaria
scaffold107_size83135,83135,0.4139,80.3054670115,Arthropoda
scaffold108_size82648,82648,0.4196,89.5921861387,Tardigrada
scaffold109_size81232,81232,0.4347,120.970307268,Arthropoda
scaffold110_size81064,81064,0.4506,76.5219702951,Arthropoda
scaffold111_size80684,80684,0.4486,72.3544940756,Arthropoda
scaffold113_size79795,79795,0.4399,79.590613447,Chordata
scaffold114_size79283,79283,0.6285,1.19050742278,Proteobacteria
scaffold115_size79125,79125,0.5539,0.99862243286,Actinobacteria
scaffold117_size78986,78986,0.5571,1.42832907098,Bacteria-undef
scaffold118_size78841,78841,0.4706,125.378838422,Mollusca
scaffold120_size78564,78564,0.424,77.0076498143,Streptophyta
scaffold123_size77953,77953,0.4547,125.742768078,Arthropoda
scaffold124_size77603,77603,0.4132,0.229140626007,Bacteroidetes
scaffold125_size77279,77279,0.5492,0.0213900283389,Proteobacteria
scaffold126_size77140,77140,0.5387,0.915219082188,Chloroflexi
scaffold127_size76803,76803,0.4575,109.378227413,Arthropoda
scaffold128_size75893,75893,0.4291,75.657043469,Ascomycota
scaffold131_size74231,74231,0.4068,0.382589484178,Bacteroidetes
scaffold132_size73900,73900,0.4596,98.1770500677,Arthropoda
scaffold133_size73521,73520,0.4254,86.121273123,Chordata
scaffold134_size73428,73428,0.4303,81.9506182927,Chordata
scaffold135_size73422,73422,0.4097,121.426888399,Echinodermata
scaffold136_size73043,73043,0.5934,0.0467395917473,Proteobacteria
scaffold137_size72766,72766,0.4455,90.7167770662,Chordata
scaffold138_size72741,72741,0.4459,129.562021419,Arthropoda
scaffold139_size72626,72626,0.4252,146.63844904,Arthropoda
scaffold140_size72570,72570,0.4278,141.317968858,Arthropoda
scaffold141_size72104,72104,0.4778,108.874583934,Hemichordata
scaffold143_size71522,71522,0.4089,77.5916403212,Chordata
scaffold144_size71485,71485,0.4279,76.9069455131,Eukaryota-undef
scaffold145_size71233,71233,0.4405,77.8904159588,Echinodermata
