Organism/Name	TaxID	BioProject_Accession	BioProject_ID	Group	SubGroup	Size_(Mb)	GC%	Assembly_Accession	Chromosomes	Organelles	Plasmids	WGS	Scaffolds	Genes	Proteins	Release_Date	Modify_Date	Status	Center	BioSample_Accession
Emiliania_huxleyi_CCMP1516	280463	PRJNA77753	77753	Protists	Other_Protists	167.676	64.5	GCA_000372725.1	-	-	-	AHAL01	7795	38549	38554	2013/04/19	2014/08/01	Scaffold	JGI	SAMN02744062
Arabidopsis_thaliana	3702	PRJNA10719	10719	Plants	Land_Plants	119.668	36.0528	GCA_000001735.1	5	2	-	-	7	33583	35378	2001/08/13	2016/06/20	Chromosome	The_Arabidopsis_Information_Resource_(TAIR)	SAMN03081427
Arabidopsis_thaliana	3702	PRJNA30811	30811	Plants	Land_Plants	96.5002	36.7	GCA_000222325.1	-	-	-	AFNA01	2143	-	-	2011/07/18	2014/08/11	Scaffold	1001genomes	SAMN02981334
Arabidopsis_thaliana	3702	PRJNA30811	30811	Plants	Land_Plants	98.0662	36.6	GCA_000222345.1	-	-	-	AFNB01	1740	-	-	2011/07/18	2014/08/11	Scaffold	1001genomes	SAMN02981335
Arabidopsis_thaliana	3702	PRJNA30811	30811	Plants	Land_Plants	96.2565	36.6	GCA_000222365.1	-	-	-	AFMZ01	1261	-	-	2011/07/18	2014/08/11	Scaffold	1001genomes	SAMN02981333
Arabidopsis_thaliana	3702	PRJNA30811	30811	Plants	Land_Plants	96.694	36.7	GCA_000222385.1	-	-	-	AFNC01	2408	-	-	2011/07/18	2014/08/11	Scaffold	1001genomes	SAMN02981336
Arabidopsis_thaliana	3702	PRJNA13190	13190	Plants	Land_Plants	93.6545	36.0433	GCA_000211275.1	6	-	-	-	6	16842	20111	2000/12/14	2007/05/19	Chromosome	Arabidopsis_Genome_Initiative	SAMN03081413
Solanum_lycopersicum	4081	PRJNA41343	41343	Plants	Land_Plants	540.589	34.5	GCA_000181095.1	-	-	-	BABP01	100783	-	-	2009/11/06	2015/09/25	Scaffold	Kazusa_DNA_Research_Institute	SAMD00036540
Solanum_lycopersicum	4081	PRJNA67471	67471	Plants	Land_Plants	0.575198	43.5	GCA_000325825.1	-	1	-	AFYB01	195	-	-	2012/02/24	2014/08/11	Contig	Mitochondrial_Genome	SAMN02981358
Hordeum_vulgare_subsp._vulgare	112509	PRJEB86	179052	Plants	Land_Plants	1868.64	44.3	GCA_000326085.1	-	-	-	CAJW01	2670738	-	-	2012/10/29	2015/02/01	Scaffold	IPK-Gatersleben	SAMEA2272000
